City_ID,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
243,Saint-Philippe,90,RE,1593858895,64,-21.36,55.77,75.2,16.11
244,Yulara,59,AU,1593858896,42,-25.24,130.99,60.8,6.93
245,Egvekinot,92,RU,1593858898,85,66.32,-179.17,42.13,2.46
246,Morondava,0,MG,1593858899,43,-20.28,44.28,78.4,10.18
247,Yumen,24,CN,1593858901,10,40.28,97.2,91.99,8.12
248,Hamilton,90,US,1593858902,93,39.18,-84.53,71.01,3.56
249,Beaufort,75,MY,1593858904,79,5.35,115.75,84.2,4.7
250,Suntar,61,RU,1593858906,63,62.14,117.63,64.45,2.64
251,Bonavista,90,CA,1593858907,81,48.65,-53.11,48.99,1.99
252,Bara,100,NG,1593858909,52,10.37,10.73,89.46,11.99
253,Antofagasta,90,CL,1593858745,67,-23.65,-70.4,57.2,3.36
254,Ancud,90,CL,1593858745,100,-41.87,-73.82,44.01,5.82
255,Mounana,90,GA,1593858915,88,-1.41,13.16,75.2,3.36
256,Nouadhibou,0,MR,1593858760,69,20.93,-17.03,75.2,21.92
257,Gizo Government Station,94,SB,1593858921,77,-8.1,156.84,82.51,12.41
258,Puerto Peñasco,0,MX,1593858763,82,31.32,-113.53,78.01,1.01
259,Kotel,40,BG,1593858924,43,42.88,26.45,87.8,2.24
260,North Battleford,1,CA,1593858770,87,52.78,-108.28,55.99,9.17
261,Tessalit,35,ML,1593858927,7,20.2,1.01,106.41,24.09
262,Zhezkazgan,75,KZ,1593858930,32,47.8,67.71,80.6,11.18
263,Abhā,40,SA,1593858693,15,18.22,42.51,89.6,18.34
264,La Tuque,85,CA,1593858936,62,47.43,-72.78,57.06,3.94
265,Kargasok,100,RU,1593858938,72,59.06,80.86,68.67,8.34
266,Sarh,89,TD,1593858729,52,9.14,18.39,89.6,9.17
267,Zhangjiakou,100,CN,1593858686,64,40.81,114.88,72.93,0.89
268,Angoche,60,MZ,1593858771,62,-16.23,39.91,77.04,12.77
269,Doka,0,SD,1593858745,39,13.52,35.77,92.41,9.46
270,Puerto Madero,80,MX,1593858947,80,14.72,-92.42,78.04,5.26
271,Nuevo Progreso,12,MX,1593858949,71,23.17,-97.95,77.0,5.84
272,Yenagoa,100,NG,1593858950,88,4.92,6.26,77.85,9.28
273,Balagansk,29,RU,1593858953,43,54.01,103.05,82.31,1.34
274,Avera,1,US,1593858955,86,33.19,-82.53,71.6,2.93
275,Makkah al Mukarramah,0,SA,1593858958,8,21.43,39.83,113.0,25.86
276,Khovu-Aksy,48,RU,1593858794,43,51.13,93.6,74.21,3.13
277,Takoradze,93,GH,1593858962,82,4.88,-1.76,78.78,13.87
278,Comodoro Rivadavia,90,AR,1593858966,93,-45.87,-67.5,39.2,13.87
279,Saldanha,51,ZA,1593858744,77,-33.01,17.94,60.8,1.12
280,Tehri,50,IN,1593858700,36,30.38,78.48,94.35,5.57
281,Bossangoa,99,CF,1593858771,79,6.49,17.46,82.83,1.95
282,Ormond Beach,40,US,1593858979,100,29.29,-81.06,75.0,6.6
283,Nador,20,MA,1593858971,69,35.17,-2.93,80.6,6.93
284,Dogondoutchi,98,NE,1593858726,50,13.64,4.03,89.51,17.47
285,Gouré,90,NE,1593858984,48,13.98,10.27,90.0,5.99
286,Yokadouma,77,CM,1593858985,64,3.52,15.05,81.99,4.72
287,Ati,100,TD,1593858988,35,13.22,18.34,97.07,8.01
288,Taksimo,37,RU,1593858989,37,56.34,114.88,68.63,8.75
289,Pavlodar,75,KZ,1593858991,88,52.3,76.95,68.0,13.42
290,Muros,38,ES,1593858993,65,42.78,-9.06,73.0,4.0
291,Mīrābād,0,AF,1593858994,6,30.44,61.84,107.8,26.4
292,Aden,91,YE,1593858996,64,12.78,45.04,89.78,11.25
293,Żnin,15,PL,1593858997,49,52.85,17.72,78.01,16.11
294,Santa Maria,0,BR,1593858733,81,-29.68,-53.81,40.6,4.65
295,Goderich,4,CA,1593859001,86,43.75,-81.72,66.99,8.97
296,Murgab,0,TM,1593859002,9,37.5,61.97,91.4,13.87
297,Havelock,1,US,1593858755,78,34.88,-76.9,77.0,9.17
298,Rancho Palos Verdes,0,US,1593859006,84,33.74,-118.39,64.99,7.23
299,Bonfim,43,BR,1593859008,82,3.08,-59.95,76.59,3.04
300,Port Hardy,86,CA,1593859009,89,50.7,-127.42,51.19,2.26
301,Yerbogachën,69,RU,1593859011,43,61.28,108.01,64.58,8.37
302,Coari,94,BR,1593858730,96,-4.08,-63.14,72.18,0.49
303,Otoka,99,BA,1593859014,47,44.96,16.18,77.36,7.29
304,Mexico,75,PH,1593859016,88,15.06,120.72,78.8,13.87
305,La Ronge,20,CA,1593859021,93,55.1,-105.28,51.8,4.56
306,Ahipara,69,NZ,1593859023,76,-35.17,173.17,54.03,10.96
307,Saint-Augustin,78,CA,1593859025,66,51.23,-58.65,54.77,5.75
308,Pacifica,1,US,1593859027,76,37.61,-122.49,55.4,8.05
309,Oliveira dos Brejinhos,0,BR,1593859028,62,-12.32,-42.9,71.6,7.92
310,Olafsvik,30,IS,1593859030,69,64.89,-23.71,50.09,7.02
311,Washougal,90,US,1593859031,76,45.58,-122.35,57.99,1.66
312,Aklavik,90,CA,1593859033,93,68.22,-135.01,44.6,12.75
313,Los Llanos de Aridane,75,ES,1593859034,69,28.66,-17.92,73.4,20.8
314,Puerto Carreño,100,CO,1593859036,90,6.19,-67.49,76.08,2.62
315,Lima,40,PE,1593859037,93,-12.04,-77.03,57.2,4.7
316,Lábrea,33,BR,1593859039,97,-7.26,-64.8,71.17,0.83
317,Taoudenni,0,ML,1593859042,5,22.68,-3.98,117.19,18.32
318,Lithgow,9,AU,1593859044,86,-33.48,150.15,36.0,14.0
319,Kommunisticheskiy,88,RU,1593859045,36,61.68,64.48,75.43,5.53
320,Keokuk,20,US,1593858926,78,40.4,-91.38,73.4,3.36
321,Maragogi,5,BR,1593859048,77,-9.01,-35.22,75.45,3.02
322,Iisalmi,20,FI,1593858761,55,63.56,27.19,64.4,13.87
323,Røros,98,NO,1593859052,75,62.57,11.38,46.4,10.29
324,Cururupu,15,BR,1593859054,86,-1.83,-44.87,79.5,5.03
325,Immokalee,1,US,1593859059,94,26.42,-81.42,78.01,0.69
326,Grand Gaube,5,MU,1593859060,66,-20.01,57.66,75.99,11.01
327,Standerton,0,ZA,1593859062,39,-26.93,29.24,68.0,5.99
328,Sinnamary,31,GF,1593859063,88,5.38,-52.95,77.09,4.74
329,Bongandanga,63,CD,1593859065,41,1.5,21.05,92.55,3.38
330,Binzhou,85,CN,1593859028,63,37.37,118.02,82.99,3.0
331,Manitouwadge,45,CA,1593859068,93,49.12,-85.84,60.87,6.13
332,Meulaboh,44,ID,1593859070,77,4.14,96.13,83.62,4.65
